Ticker,Name,Sector,Industry,MktCap($B),Price,DollarVol($M),RevYoY,OpMarginTTM,OperatingMargins(info),ROE(info),EV_EBITDA,PE,PEG,FCF_Yield,PB,DivYield,PayoutRatio,SMA20,SMA50,ATR_PCT,RVOL,RET5,RET20,CreatedAtUTC,Source
GDLC,Grayscale CoinDesk Crypto 5 ETF,,,0.84,53.01,13.86,,,,,,,,,,0.0,,55.96100006103516,54.40321998596191,0.04216461450160823,1.7896689552295895,0.015807641016438945,-0.005347089146184092,2025-10-24T08:59:10Z,us_all
IWP,iShares Russell Mid-Cap Growth ETF,,,10.95,143.28,132.11,,,,,,33.183014,,,1.2777,0.33,,142.5640007019043,142.50230224609376,0.01764277722499439,1.437271223665302,0.014658961596284659,0.014156285513028166,2025-10-24T08:59:10Z,us_all
RAFE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24T08:59:10Z,us_all
QCJL,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24T08:59:10Z,us_all
PMCB,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24T08:59:10Z,us_all
IHE,iShares U.S. Pharmaceuticals ETF,,,,74.84,3.13,,,,,,22.359032,,,,1.54,,74.17099952697754,71.87712188720702,0.010269537195673969,0.78956813015911,0.008897223375567975,0.08322478368473374,2025-10-24T08:59:10Z,us_all
QCMU,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24T08:59:10Z,us_all
DBMF,iMGP DBi Managed Futures Strategy ETF,,,,28.38,27.37,,,,,,,,,,4.89,,27.948449993133544,26.994702606201173,0.014726170121120674,0.35047334639831607,,0.04687279032857461,2025-10-24T08:59:10Z,us_all
UJB,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24T08:59:10Z,us_all
QEFA,SPDR MSCI EAFE StrategicFactors ETF,,,,89.04,2.77,,,,,,18.046701,,,,2.88,,88.32550086975098,87.67724044799805,0.007736102541447804,0.6937530110807772,0.007867414003057238,0.02847411315669124,2025-10-24T08:59:10Z,us_all
