Ticker,Price,DollarVol($M),SMA20,SMA50,ATR_PCT,RVOL,RET5,RET20,Name,Sector,Industry,MktCap($B),RevYoY,OpMarginTTM,OperatingMargins(info),ROE(info),EV_EBITDA,PE,PEG,FCF_Yield,PB,DivYield,PayoutRatio,CreatedAtUTC,Source
MTDR,39.2,91.87,42.79550037384033,45.84780029296875,0.04192784564211509,0.9770057379255084,-0.10726483946344734,-0.12753170494806898,Matador Resources Company,Energy,Oil & Gas E&P,4.87,0.2347146759624521,0.37926716673682076,0.35891,0.16128,3.35823661440309,6.2820516,0.47256028631859787,0.05182247283111699,0.8855155,3.8,0.1903,2025-10-29T04:20:30Z,us_all
FTHI,23.92,11.06,23.578416538238525,23.323821449279784,0.01144263937772956,0.8240920035332747,0.01270106801021953,0.016400140242656125,First Trust BuyWrite Income ETF,,,,,,,,,26.024044,,,,6.65,,2025-10-29T04:20:30Z,us_all
GSY,50.24,31.8,50.15862884521484,50.014518890380856,0.002159624270554965,0.5303325455981147,0.0005975422135273689,0.003786918857607402,Invesco Ultra Short Duration ETF,,,,,,,,,,,,,4.77,,2025-10-29T04:20:30Z,us_all
NMIH,35.95,13.21,36.27950019836426,38.13810005187988,0.019829118847091643,1.0097012669359935,-0.016953758191376567,-0.06233696870465755,"NMI Holdings, Inc.",Financial Services,Insurance - Specialty,2.79,0.12429641988038065,0.7556726469605853,0.7522,0.16915001,5.730666868772483,7.6326966,1.075027690140845,0.12874283697931516,1.1544638,0.0,0.0,2025-10-29T04:20:30Z,us_all
WOK,3.47,1.76,6.074000108242035,43.25960023403168,0.38740224801529294,0.1125475880370081,-0.11479592829731677,-0.537333329518636,WORK Medical Technology Group LTD,Healthcare,Medical Devices,0.03,,,-0.34474,-0.28128,,,,,0.03910696,0.0,0.0,2025-10-29T04:20:30Z,us_all
NXST,191.17,49.25,195.597501373291,200.53180114746092,0.024975906679822635,0.6491840322486431,-0.03052895277614165,-0.03322548367404532,"Nexstar Media Group, Inc.",Communication Services,Broadcasting,5.8,0.09608757348469488,0.2229119638826185,0.17982,0.26367,7.142128276179924,9.972352,2.4337858465644944,0.1024973279420676,2.5688677,3.9,0.3711,2025-10-29T04:20:30Z,us_all
GFEB,41.01,2.74,40.64554977416992,40.36163986206055,0.005419084184260768,0.8537992516733272,0.006405010397762423,0.010845418536326035,FT Vest U.S. Equity Moderate Buffer ETF - February,,,,,,,,,28.42046,,,,0.0,,2025-10-29T04:20:30Z,us_all
QQQ,632.92,35594.31,607.9634979248046,592.57259765625,0.01621282716710085,1.0030254702174022,0.03523173452732142,0.05421654655911845,Invesco QQQ Trust,,,248.8,,,,,,35.687763,,,1.7690498,0.47,,2025-10-29T04:20:30Z,us_all
BALL,49.09,127.99,48.88800048828125,49.96327545166016,0.018777451197202488,0.7317316484586939,-0.005066882837998721,-0.026378382876987017,Ball Corporation,Consumer Cyclical,Packaging & Containers,13.36,-0.022135632565080443,0.10784867306606437,0.10665,0.09592,10.553159195366861,24.301981,0.4959587959183674,0.01833717967771809,2.565322,1.6,0.396,2025-10-29T04:20:30Z,us_all
ALB,96.68,324.77,93.71699981689453,85.8709260559082,0.06373129970595445,0.7461129074673984,0.058462931698957776,0.192402542203028,Albemarle Corporation,Basic Materials,Specialty Chemicals,11.38,-0.44084303929115354,-0.20770724161562806,0.041490003,-0.081070006,33.411645210099664,52.543476,,-0.011280397676581521,1.4210751,1.68,0.5797,2025-10-29T04:20:30Z,us_all
BUSE,23.24,9.87,22.91033058166504,23.58451042175293,0.03053136062582609,0.7859254112742732,0.010467955988226363,0.014832799102809213,First Busey Corporation,Financial Services,Banks - Regional,2.07,0.04715600285931498,,0.47702998,0.041389998,,18.444445,1.7400419811320758,0.09018786102546131,0.85835636,4.31,0.77779996,2025-10-29T04:20:30Z,us_all
SPXS,34.73,169.7,37.4939998626709,39.20738899230957,0.0432621133586319,0.7617766194113228,-0.06589566279800141,-0.08581210824421415,Direxion Daily S&P 500 Bear 3X Shares,,,,,,,,,,,,,5.4,,2025-10-29T04:20:30Z,us_all
CHKP,203.56,184.53,196.52500076293944,195.91739959716796,0.02547863458958449,3.02890575122825,0.034612439942026674,-0.016190643488587897,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,21.85,0.06224375698844575,0.33004012415777123,0.30607,0.30304,21.6425188990934,26.539764,4.656098947368421,0.05670992127872667,7.690506,0.0,0.0,2025-10-29T04:20:30Z,us_all
FBNC,49.5,11.65,49.863999938964845,52.207130889892575,0.03474749390353028,0.8122747056834076,0.014552143290628594,-0.06409528131535436,First Bancorp,Financial Services,Banks - Regional,2.05,-0.13825468033382626,,0.31741,0.06419,,20.798319,2.4468610588235293,0.13116545309582195,1.2801945,1.85,0.3782,2025-10-29T04:20:30Z,us_all
SMBK,35.37,2.49,34.9084997177124,35.96300010681152,0.03324045238283464,0.7112649910882061,0.004544159374394008,-0.010075583962043111,"SmartFinancial, Inc.",Financial Services,Banks - Regional,0.6,0.12530428791706316,,0.40934,0.09009,,12.908759,0.25817518,0.2878144373402993,1.1187019,0.91,0.1168,2025-10-29T04:20:30Z,us_all
HEQT,31.85,1.87,31.386350059509276,31.072955932617187,0.007719222474878542,0.7997322957517317,0.011111123221261066,0.01962419180244912,Simplify Hedged Equity ETF,,,,,,,,,28.686829,,,,1.22,,2025-10-29T04:20:30Z,us_all
PLUG,2.79,481.13,3.4065000295639036,2.4452000093460082,0.14567333265327678,0.5074709323680703,-0.10576921019563468,0.19742491554047148,Plug Power Inc.,Industrials,Electrical Equipment & Parts,3.45,-0.2945295846702717,-2.7809774628294224,-0.88263,-0.83002996,,,,-0.19713894467234508,1.9044368,0.0,0.0,2025-10-29T04:20:30Z,us_all
MTCH,32.68,113.49,32.99303512573242,35.45548057556152,0.021948762492941656,0.6797527970087227,-0.011494284704483881,-0.069659859631229,"Match Group, Inc.",Communication Services,Internet Content & Information,7.86,0.03414143659808411,0.23200822123610668,0.24107,,11.271562151046194,16.178219,23.111741428571424,0.08222938836288624,-34.219894,2.32,0.28219998,2025-10-29T04:20:30Z,us_all
KCCA,17.66,1.08,17.77480001449585,17.061899909973146,0.007118574783172168,0.28828123726132826,-0.0031047307198440732,0.03456357136121002,KraneShares California Carbon Allowance ETF,,,,,,,,,12.405273,,,,5.68,,2025-10-29T04:20:30Z,us_all
AAPX,30.92,3.89,28.274749755859375,26.227599906921387,0.038089075313525275,0.5401775555636887,0.04636212773620629,0.10231732325473519,T-Rex 2X Long Apple Daily Target ETF,,,,,,,,,42.560516,,,,,,2025-10-29T04:20:30Z,us_all
IBOC,67.56,13.17,67.35799942016601,69.18919921875,0.02424829359805821,0.6724503807905321,0.017776444019286686,-0.017309126420454568,International Bancshares Corporation,Financial Services,Banks - Regional,4.2,0.00023876886453999546,,0.63168997,0.14712,,10.220877,3.1940240624999996,0.10537124470909016,1.3894087,2.06,0.2057,2025-10-29T04:20:30Z,us_all
GVAL,30.04,5.74,29.257750034332275,29.05819896697998,0.010804411290531203,1.8713939729982791,0.03265729659526806,0.02771130297558133,Cambria Global Value ETF,,,,,,,,,11.7667885,,,,2.29,,2025-10-29T04:20:30Z,us_all
FSM,8.12,140.68,8.759000086784363,8.268400058746337,0.06289584552516089,0.8786488714983045,0.013732790703378184,-0.09375001663076021,Fortuna Mining Corp.,Basic Materials,Gold,2.49,0.26068577967493956,0.2742891605120249,0.35097,0.13087,4.2279278446508615,14.5,0.6823207318816282,0.10086242252118734,1.6676936,0.0,0.0,2025-10-29T04:20:30Z,us_all
LTC,35.19,11.58,34.9816951751709,35.5169637298584,0.016707137334016024,1.0513047901029489,0.00884252838831534,-0.040149071223472776,"LTC Properties, Inc.",Real Estate,REIT - Healthcare Facilities,1.62,0.06389547971040943,0.3106701097244941,0.51932,0.088,14.94213111606976,19.441988,1.4838926993146577,0.05286979503325201,1.6929665,6.4,1.2597001,2025-10-29T04:20:30Z,us_all
USRT,58.42,11.91,58.457499504089355,58.12277030944824,0.011774345099461793,1.6383013626478393,-0.010166084109872853,-0.005109043690755932,iShares Core U.S. REIT ETF,,,,,,,,,31.795815,,,,2.66,,2025-10-29T04:20:30Z,us_all
DTIL,8.29,1.35,6.324999928474426,5.489000005722046,0.06530242593678617,1.6935562828153117,0.18598000476427878,0.5018115924814874,"Precision BioSciences, Inc.",Healthcare,Biotechnology,0.1,0.40981386089847516,-71.45915939730372,-1215.3889,-1.43893,,,,-0.992187642970681,2.8332193,0.0,0.0,2025-10-29T04:20:30Z,us_all
OEC,5.53,4.22,6.367000031471252,8.249999980926514,0.06985920936903803,0.866376856131597,-0.016014177505944804,-0.2704485137904076,Orion S.A.,Basic Materials,Specialty Chemicals,0.31,-0.008659380115106363,0.03887712439593854,0.06711,0.03112,5.45604253553592,20.481482,,-0.05111927727717876,0.66442394,1.47,0.3067,2025-10-29T04:20:30Z,us_all
MKL,1837.96,68.75,1912.981494140625,1929.62359375,0.017608803205162216,1.0993141483797406,-0.03532328841374455,-0.0384019886241167,Markel Group Inc.,Financial Services,Insurance - Property & Casualty,23.25,0.06596941436343129,0.19443876035045837,0.24058,0.13501,6.073461180349667,11.027539,6.611234412470025,0.09081221773513595,1.3429765,0.0,0.0,2025-10-29T04:20:30Z,us_all
VSAT,39.41,96.39,35.13300008773804,31.9753999710083,0.059330489998536316,0.8408934325600063,0.07442746781687215,0.34505122435511115,"Viasat, Inc.",Technology,Communication Equipment,5.29,0.055048160983883765,-0.024219764184686576,0.03985,-0.115,8.180245629761771,,,0.007863207478299437,1.1591177,0.0,0.0,2025-10-29T04:20:30Z,us_all
PROK,3.04,6.85,3.0610000014305117,2.7021999979019165,0.0834116372558075,0.765113866563852,-0.07878787703641077,0.25619829174078657,ProKidney Corp.,Healthcare,Biotechnology,0.9,,-344.6698292220114,-179.67873,-0.40515,,,,-0.10025832037084038,-0.40457812,0.0,0.0,2025-10-29T04:20:30Z,us_all
