Ticker,Price,DollarVol($M),SMA20,SMA50,ATR_PCT,RVOL,RET5,RET20,Name,Sector,Industry,MktCap($B),RevYoY,OpMarginTTM,OperatingMargins(info),ROE(info),EV_EBITDA,PE,PEG,FCF_Yield,PB,DivYield,PayoutRatio,CreatedAtUTC,Source
YMAX,12.39,25.68,12.206068801879884,11.884159297943116,0.04096148731580756,0.8558869368434766,0.030093213678824338,0.0417375559021993,YieldMax Universe Fund of Option Income ETFs,,,,,,,,,,,,,66.67,,2025-10-26T18:46:03Z,us_all
CRWV,132.55,3739.88,133.82249946594237,117.5027995300293,0.07872500153311482,0.7507135416795884,-0.03156273996890935,0.1014625817303827,"CoreWeave, Inc.",Technology,Software - Infrastructure,65.63,7.366388140279458,0.06283100728318837,0.03975,,44.47160968976974,,,-0.09527153872091686,24.343433,0.0,0.0,2025-10-26T18:46:03Z,us_all
SRLN,41.39,177.5,41.25280323028564,41.20432365417481,0.0023297658568724195,0.927356311654213,0.004611617067733054,0.002223336815668109,SPDR Blackstone Senior Loan ETF,,,,,,,,,,,,,7.81,,2025-10-26T18:46:03Z,us_all
FCX,41.37,846.63,40.825015258789065,42.38395622253418,0.041055701787011636,0.5177654482450776,0.004613856855292475,0.16135341096323752,Freeport-McMoRan Inc.,Basic Materials,Copper,59.4,0.1137606650623495,0.2678543764523625,0.28055,0.14538999,7.722803265013668,28.93007,1.0406499999999999,0.022651119191788544,3.099805,1.45,0.41959998,2025-10-26T18:46:03Z,us_all
BOXX,114.14,130.48,113.98050003051758,113.7193000793457,0.00027534305299880624,0.9275004811140852,0.0007014013042880851,0.0029876654549472192,Alpha Architect 1-3 Month Box ETF,,,,,,,,,28.205954,,,,,,2025-10-26T18:46:03Z,us_all
KARO,46.39,3.51,51.56875,52.40849983215332,0.06161426905662922,0.832617458534329,0.03549107543896057,-0.1812566269929622,Karooooo Ltd.,Technology,Software - Application,1.43,0.08606516544600651,0.28647490651739965,0.26492,0.35198003,0.8562728248023521,25.075676,1.6497155263157897,0.3825473726321222,0.47853848,5.02,0.6857,2025-10-26T18:46:03Z,us_all
XYF,12.88,2.04,13.567000007629394,14.062999973297119,0.04952305548363097,0.4217781712406728,-0.012269926984675661,-0.04023844700321,X Financial,Financial Services,Credit Services,0.53,0.34237876826573244,0.004029250077800855,0.71700996,0.24314,0.4830927924704401,2.3896105,0.053220723830734964,,0.06994374,4.11,0.078099996,2025-10-26T18:46:03Z,us_all
PX,10.55,3.87,10.690499925613404,11.542526168823242,0.03153012527974393,0.48614235273267625,0.007640871219266598,-0.06055203733036396,"P10, Inc.",Financial Services,Asset Management,1.16,0.2263396956985777,0.2023876273245491,0.17653999,0.04054,13.974698487085849,81.153854,3.1222501614556886,0.03619370501406312,3.4331274,1.42,1.0962,2025-10-26T18:46:03Z,us_all
ORLY,97.27,456.83,102.42150001525879,103.53640014648437,0.02289650412052196,1.113760827165646,-0.042618128898472385,-0.08322339263000478,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,82.37,0.0566794099511454,0.19222696854693547,0.20742,,23.405465176144034,33.657436,2.876703931623931,0.01956532938951985,-92.11174,0.0,0.0,2025-10-26T18:46:03Z,us_all
IBTK,19.98,2.42,19.90805149078369,19.837829055786134,0.002170571569318955,2.1389932691910643,,0.010209599633908661,iShares iBonds Dec 2030 Term Treasury ETF,,,,,,,,,,,,,3.82,,2025-10-26T18:46:03Z,us_all
