Ticker,Price,DollarVol($M),SMA20,SMA50,SMA200,ATR_PCT,RVOL,RET5,RET20,RET63,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Position,High_52W_Ratio,Low_52W_Ratio,Momentum_12M,Volatility_21D,Name,Sector,Industry,MktCap($B),PE,PB,ROE(info),Debt_to_Equity,ROIC,Owner_Earnings,Consistency_Score,Piotroski_FScore,Graham_Number,Magic_Formula_Score,CreatedAtUTC,Source
FBP,19.57,24.7,20.737499809265138,21.498319931030274,20.18356333732605,0.03589679192838004,0.1279953600295386,-0.03832927135253328,-0.1120690162477711,-0.034838982047993516,34.49365761088204,-0.5851633467937027,-0.43733422832417534,-0.1478291184695274,0.17689698940403276,0.8760071423973204,1.1820018231758995,0.0431998529397859,0.023279959858120685,First BanCorp.,Financial Services,Banks - Regional,3.1,9.5024395,1.6054063,0.18429,0.3365012496735033,,92839000.0,97.8494759781474,3.0,23.657572783360507,,2025-10-31T16:50:08Z,us_all
AMDD,8.11,71.47,9.122999954223634,12.351975631713866,,0.049019718683031656,0.1263580629890262,-0.034523806550335046,-0.4272599050797705,-0.39412385094648383,25.39679696357919,-1.2630440824492997,-1.3061099021170186,0.04306581966771894,0.17904195890830923,0.24036447763387733,1.0099626309298086,,0.06634860844237177,Direxion Daily AMD Bear 1X Shares,,,,,,,,,,,,,,2025-10-31T16:50:08Z,us_all
FAST,41.33,276.14,43.31387710571289,46.26073226928711,41.958111915588375,0.02078951901457267,0.17263561825774829,-0.03091075004154742,-0.1323129922899403,-0.08431000260734378,43.51111170267045,-1.4206651170122129,-1.360159299598069,-0.06050581741414396,0.27072512592747927,0.8244662822550464,1.1871195957241214,0.07756041404037473,0.018911094108730684,Fastenal Company,Industrials,Industrial Distribution,47.34,38.900948,12.156545,0.32742,0.13422558969112075,0.3305494190216612,209300000.0,96.63314260019878,4.0,8.994398256692884,17.812786671409466,2025-10-31T16:50:08Z,us_all
HLLY,2.9,,2.9535000205039976,3.266600012779236,2.6608500081300734,0.040049263853886574,0.18788239485649433,-0.023569000864809175,-0.04605258823761926,0.4572864731003341,49.41176536586447,-0.07309572889846061,-0.08159549142137115,0.008499762522910542,0.28220550830476854,0.7125307059099335,1.638418150631513,0.09022556458369202,0.024540144514171965,HLLY,,,,,,,,,,,,,,2025-10-31T16:50:08Z,us_all
JMIA,11.06,30.16,11.526355028152466,10.72654200553894,5.343535505533218,0.06441884723988464,0.18590136672513902,0.01627759004749696,-0.04350346932019111,1.2798145388537248,38.8467734824952,0.06535640067394333,0.18638274611827532,-0.121026345444332,0.3421685647765401,0.8584705122497169,6.391387383881195,1.31320079721583,0.046928143559862745,Jumia Technologies AG,Consumer Cyclical,Internet Retail,1.33,,15.331452,-1.78693,0.12977771596782792,,-13420000.0,55.22272965075736,4.0,,,2025-10-31T16:50:08Z,us_all
CPS,30.87,6.47,34.75750036239624,36.390000343322754,23.608850088119507,0.06758757088023408,2.3061043939840755,-0.19838997183305074,-0.15494109305230097,0.27561982917407857,47.77562785958258,0.10270968443052908,0.22652921677564963,-0.12381953234512055,0.128651944369583,0.7883044167395074,2.766129145278782,1.2681852768518014,0.05005266476061983,Cooper-Standard Holdings Inc.,Consumer Cyclical,Auto Parts,0.55,18.479288,,,,0.07055381970644393,-23352000.0,80.16573920919495,6.0,,6.233422937765386,2025-10-31T16:50:08Z,us_all
RAIL,8.66,,9.525999927520752,9.167999935150146,8.695749988555908,0.05509732323657247,0.22661622105293872,-0.11542391408008079,-0.08842106869346222,-0.12701615112815245,33.23353062594457,-0.07588168523108862,0.05203379088371025,-0.12791547611479887,-0.06009448404594894,0.5512412365616757,1.9460674648528138,-0.4176193736341437,0.0328434849706227,RAIL,,,,,,,,,,,,,,2025-10-31T16:50:08Z,us_all
BRCB,24.55,6.74,24.545000076293945,24.545000076293945,,0.02,1.0,0.0,0.0,,,,,,,,,,,"Black Rock Coffee Bar, Inc.",Consumer Cyclical,Restaurants,0.44,,,,,,,,4.0,,,2025-10-31T16:50:08Z,us_all
ARKO,4.34,,4.1797500371932985,4.600900020599365,4.771426550149918,0.03259187054643605,0.3200799582716007,-0.03236606703329914,-0.034521100417025496,0.11559625867430112,72.5888205691497,-0.0405709436675572,-0.08708541785639004,0.04651447418883284,0.6814606851802163,0.5651500127406812,1.2019980250863092,-0.3527838969153353,0.027847401537874576,ARKO,,,,,,,,,,,,,,2025-10-31T16:50:08Z,us_all
NRGU,18.22,,18.168499851226805,19.404659996032716,,0.05195505560241509,0.16804471794004244,-0.026709402689096717,-0.07277355383901729,0.06177153119859957,53.16640987214583,-0.320474827567093,-0.4106571936507039,0.09018236608361091,0.5128180316370348,0.6975230317036374,1.6414413231706595,,0.039122577229069186,NRGU,,,,,,,,,,,,,,2025-10-31T16:50:08Z,us_all
